UID,Year,precip_mm,ETo_mm,ETr_mm
347624,2019,721.3,1373.6000000000001,1914.6
347624,2020,436.8,1581.3,2274.2999999999997
347624,2021,541.4,1538.6000000000001,2195.1
347626,2016,550.96,1471.51,2068.14
347626,2017,744.1,1463,2062.7
347626,2018,646.3,1382.1,1921.7
347626,2019,817.3,1302.4,1791.8
347626,2020,391.2,1538.6,2198.8
347626,2021,511.7,1488.3,2105.2
347627,2016,672.1700000000001,1508.47,2129.13
347627,2017,695.8,1513.5,2150.7
347627,2018,752.9,1404.8,1959.2
347627,2019,752.7,1337.8,1848
347627,2020,433.1,1550.1,2217.5
347627,2021,534.2,1518.5,2157.4
347628,2016,573.36,1501.95,2119.55
347628,2017,740.5,1486.9,2103.5
347628,2018,621.2,1408.6,1966.4
347628,2019,775.6,1327.9,1834
347628,2020,388.8,1556,2229
347628,2021,505.6,1507.4,2139.2
347629,2016,654.04,1522.79,2155.13
347629,2017,713.6,1512.7,2148.8
347629,2018,707.9,1424,1993.7
347629,2019,765.5,1353.8,1877.4
347629,2020,408,1563.6,2240.6
347629,2021,513.5,1524.2,2166.6
347631,2016,573.36,1501.95,2119.55
347631,2017,740.5,1486.9,2103.5
347631,2018,621.2,1408.6,1966.4
347631,2019,775.6,1327.9,1834
347631,2020,388.8,1556,2229
347631,2021,505.6,1507.4,2139.2
347633,2016,643.02,1479.13,2080.4
347633,2017,717.9,1487.3999999999999,2105.7
347633,2018,681.8,1379.1,1915.3999999999999
347633,2019,765.3,1307.3,1798.3
347633,2020,382.59999999999997,1537,2195.3
347633,2021,500.3,1502.2,2128.1
347634,2016,568.09,1485.56,2092.56
347634,2017,734.8,1472.8,2082.3
347634,2018,588.9,1394.8,1942
347634,2019,804.5,1316,1814.5
347634,2020,421.9,1547.6000000000001,2216
347634,2021,527.9,1499.5,2125.5
347635,2016,641.43,1521.15,2151.77
347635,2017,729.9,1513.6,2149.7
347635,2018,745.3,1422.6,1990.3
347635,2019,738.8000000000001,1352,1873.8
347635,2020,439.6,1562.3,2238.6
347635,2021,533.1,1525,2168.7
347636,2016,516.87,1545.82,2196.18
347636,2017,822.9,1520,2160.3
347636,2018,728.6,1466.3,2064.8
347636,2019,701.5,1365,1898.8
347636,2020,432.40000000000003,1584.1,2278.6
347636,2021,596.6999999999999,1542.4,2197.9
347637,2016,580.99,1535.45,2180.02
347637,2017,749.7,1508.9,2144.4
347637,2018,625.6,1443.3999999999999,2029.7
347637,2019,788.9,1352.6,1878.5
347637,2020,365.09999999999997,1573.5,2259.5
347637,2021,503,1523.7,2170
347638,2016,579.52,1541.3899999999999,2188.66
347638,2017,742.96,1521.31,2165.55
347638,2018,728.0699999999999,1441.63,2024.97
347638,2019,735.1,1381.15,1925.91
347638,2020,413.24,1580.16,2270.55
347638,2021,535.42,1535.02,2188.31
347640,2016,515.62,1533.9,2173.51
347640,2017,823.1,1509.2,2138.5
347640,2018,757.5,1464.7,2060
347640,2019,668.1,1356,1881.3999999999999
347640,2020,490.3,1581,2269.4
347640,2021,575.3,1539.5,2190.6
347642,2016,573.36,1501.95,2119.55
347642,2017,740.5,1486.9,2103.5
347642,2018,621.2,1408.6,1966.4
347642,2019,775.6,1327.9,1834
347642,2020,388.8,1556,2229
347642,2021,505.6,1507.4,2139.2
347644,2016,502.09,1554.03,2212.57
347644,2017,799.34,1522.78,2168.02
347644,2018,734.16,1469.42,2074.84
347644,2019,716.88,1368.76,1907.27
347644,2020,411.49,1588.64,2288.54
347644,2021,569.28,1542.68,2201.81
