UID,Year,precip_mm,ETr_mm,ETo_mm
347604,2016,410.29,1640.56,1188.54
347604,2017,692.4,1576.6,1146.6
347604,2018,661.72,1596.9,1162.2
347604,2019,566,1531.5,1121.8
347604,2020,346.89000000000004,1752.7,1245.8
347604,2021,410.88,1669.1,1202.5
347605,2016,603.1,1583.35,1156.3
347605,2017,609.9,1574.6,1145.7
347605,2018,523.4,1506,1110.4
347605,2019,633.6,1471.3,1088.7
347605,2020,301.09999999999997,1697.6,1214.1
347605,2021,339.5,1632.2,1182.6
347606,2016,455.03000000000003,1649.45,1193.8600000000001
347606,2017,726.1,1584.2,1150.8
347606,2018,631.6999999999999,1597.8,1162.9
347606,2019,562.2,1537.6999999999998,1125.7
347606,2020,360.3,1752.4,1246.7
347606,2021,461,1667.4,1203
347607,2016,464.37,1661.97,1200.95
347607,2017,616.8,1598.4,1158.4
347607,2018,615.5,1582.8,1153.3
347607,2019,613.4,1566,1142.3
347607,2020,320.9,1753.1,1245.3
347607,2021,428.4,1668.4,1201.8
347609,2016,457.07,1634.34,1186.16
347609,2017,717.6,1573.6,1146.1
347609,2018,640.7,1592.6000000000001,1161
347609,2019,543.4,1526.6,1120
347609,2020,390.1,1744,1241.8
347609,2021,452.7,1663.2,1201.3
347610,2016,438.69,1656.82,1197.11
347610,2017,697.4,1586.9,1151.6
347610,2018,621.5,1596.7,1161.6
347610,2019,576.6,1536.6,1123.4
347610,2020,330.8,1754.9,1246.7
347610,2021,461.3,1665.6,1200.2
347616,2016,453.86,1649.24,1192.12
347616,2017,646.1,1581.3,1148.2
347616,2018,565.8,1585.6,1154
347616,2019,669,1526.3999999999999,1117.3
347616,2020,274.8,1747.3999999999999,1241.7
347616,2021,442.9,1655.1,1193
347617,2016,538.59,1601.09,1166.56
347617,2017,644.1,1566.6000000000001,1140.9
347617,2018,505,1529.5,1123.3
347617,2019,642,1492.1,1100.1
347617,2020,288.59999999999997,1717.4,1225
347617,2021,355.7,1634.8,1183.6
347619,2016,438.69,1656.82,1197.11
347619,2017,697.4,1586.9,1151.6
347619,2018,621.5,1596.7,1161.6
347619,2019,576.6,1536.6,1123.4
347619,2020,330.8,1754.9,1246.7
347619,2021,461.3,1665.6,1200.2
347620,2016,488.16,1627.25,1182.27
347620,2017,638.4,1581.5,1149.5
347620,2018,651.2,1549.7,1135.4
347620,2019,618.2,1518.3,1115.8
347620,2020,366.7,1717.9,1226.4
347620,2021,453.90000000000003,1648.2,1190.8
347621,2016,428.98,1662.93,1199.68
347621,2017,657.2,1595.4,1155.1000000000001
347621,2018,601.1,1610.1,1167.4
347621,2019,639.6,1545.1,1126.4
347621,2020,292.90000000000003,1767.9,1252.4
347621,2021,457.1,1676.6,1205.3
347622,2016,480.21,1639.11,1189.06
347622,2017,707.9,1576.7,1148
347622,2018,592.3,1586.4,1157.4
347622,2019,540.6,1527.3,1121.4
347622,2020,351.7,1737.3,1238.7
347622,2021,488,1657.7,1197.4
347624,2016,524.61,1647.08,1192.56
347624,2017,631.3000000000001,1601.5,1160.9
347624,2018,627.6,1567.7,1144.7
347624,2019,601.4,1559.1,1138
347624,2020,347.7,1748.1999999999998,1242.6
347624,2021,396.8,1665.6,1200.8
347626,2016,494.34000000000003,1560.93,1143.09
347626,2017,639.1,1529.9,1119.9
347626,2018,520.1,1504.3999999999999,1108.9
347626,2019,680.8,1452.3999999999999,1076.3
347626,2020,290.5,1693.4,1212.1
347626,2021,382.9,1608.3,1168.6
347627,2016,609.33,1606.26,1170.34
347627,2017,582.4,1601.9,1161.7
347627,2018,649.9,1516.3,1116.6
347627,2019,639.8000000000001,1506.1,1109.8
347627,2020,352.8,1711.8,1222.5
347627,2021,382.1,1644.1,1189.5
347628,2016,519.04,1597.56,1164.53
347628,2017,646.3000000000001,1556.8,1136.3
347628,2018,498.6,1529.4,1123.6
347628,2019,649.6,1490.5,1098.9
347628,2020,291.7,1715.8,1224.8
347628,2021,377.3,1630.1,1180.8
347629,2016,593.73,1622.49,1178.98
347629,2017,612.4,1590.7,1154.4
347629,2018,590.2,1542.7,1130.2
347629,2019,640,1529.4,1122.5
347629,2020,311.9,1726.5,1231.3
347629,2021,368.3,1648.6000000000001,1192.1
347631,2016,519.04,1597.56,1164.53
347631,2017,646.3000000000001,1556.8,1136.3
347631,2018,498.6,1529.4,1123.6
347631,2019,649.6,1490.5,1098.9
347631,2020,291.7,1715.8,1224.8
347631,2021,377.3,1630.1,1180.8
347633,2016,588.1999999999999,1570.68,1148.91
347633,2017,626,1571.9,1143.3
347633,2018,549.2,1495,1103.3
347633,2019,635.1999999999999,1458.7,1081.1
347633,2020,295.4,1692,1211.2
347633,2021,367,1628.1,1179.8
347634,2016,512.89,1577.8600000000001,1152.7
347634,2017,635.7,1542.5,1126.2
347634,2018,466.2,1515.6,1115.8
347634,2019,673.5,1470.5,1087.5
347634,2020,318.6,1702.4,1216.4
347634,2021,399.1,1619.8,1174.9
347635,2016,578.66,1621.92,1178.8899999999999
347635,2017,616.9,1593.8,1156.4
347635,2018,632,1540.9,1130.1
347635,2019,619.9000000000001,1528,1122
347635,2020,352.3,1726.2,1231.6
347635,2021,385.6,1652.7,1193.1
347636,2016,458.51,1650.6399999999999,1194.52
347636,2017,712.1,1586,1152.3
347636,2018,602.6,1592.1,1159.5
347636,2019,570,1537.1,1125.5
347636,2020,336.90000000000003,1749,1243.3
347636,2021,473.59999999999997,1664.8,1201
347637,2016,525.93,1638.03,1186.5
347637,2017,655.9,1577.4,1145.8
347637,2018,516.2,1567.9,1143.8
347637,2019,668.4,1521.7,1116.4
347637,2020,275.2,1736.3,1236.2
347637,2021,386.09999999999997,1643.6,1186.5
347638,2016,522.02,1644.6699999999998,1190.98
347638,2017,627.86,1593.95,1155.35
347638,2018,617.7099999999999,1563.5,1142.18
347638,2019,613.2,1570.18,1145.84
347638,2020,319.41,1744.06,1241.05
347638,2021,395.19,1659.07,1196.67
347640,2016,457.07,1634.34,1186.16
347640,2017,717.6,1573.6,1146.1
347640,2018,640.7,1592.6000000000001,1161
347640,2019,543.4,1526.6,1120
347640,2020,390.1,1744,1241.8
