WR_GROUP,Year,Algorithm,ET_m3,ETo_m3,ETr_m3,precip_m3,ET_m3_nonirr,Irrigation_m3,IrrArea_m2,WaterUse_m3,area_m2_wrg,n_irrfields,n_within_lema,n_within_buffer,CropCode_maincrop,area_m2_maincrop,n_croptypes
12,2017,disalexi,1007154.41,2824068.02,4017813.55,1330548.75,848620.98,423084.28,1991053.35,423084.28,1870429.52,14,0,14,1,1013878.6379332851,3
12,2017,eemetric,1728743,2824068.02,4017813.55,1330548.75,1488308.42,423084.28,1991053.35,423084.28,1870429.52,14,0,14,1,1013878.6379332851,3
12,2017,ensemble,1479633.15,2824068.02,4017813.55,1330548.75,1316196.1,423084.28,1991053.35,423084.28,1870429.52,14,0,14,1,1013878.6379332851,3
12,2017,ptjpl,1257057.61,2824068.02,4017813.55,1330548.75,1216607.82,423084.28,1991053.35,423084.28,1870429.52,14,0,14,1,1013878.6379332851,3
12,2017,sims,1337632.12,2824068.02,4017813.55,1330548.75,1185430,423084.28,1991053.35,423084.28,1870429.52,14,0,14,1,1013878.6379332851,3
12,2017,ssebop,1809426.95,2824068.02,4017813.55,1330548.75,1558020.81,423084.28,1991053.35,423084.28,1870429.52,14,0,14,1,1013878.6379332851,3
12,2018,disalexi,1166558.08,2720670.67,3838364.54,1214320.26,992197.4,374978.48,1991053.35,374978.48,1870429.52,14,0,14,1,1870429.5232150867,1
12,2018,eemetric,1714195.41,2720670.67,3838364.54,1214320.26,1396322.4,374978.48,1991053.35,374978.48,1870429.52,14,0,14,1,1870429.5232150867,1
12,2018,ensemble,1594395.6,2720670.67,3838364.54,1214320.26,1347850.22,374978.48,1991053.35,374978.48,1870429.52,14,0,14,1,1870429.5232150867,1
12,2018,ptjpl,1341018.28,2720670.67,3838364.54,1214320.26,1214591.47,374978.48,1991053.35,374978.48,1870429.52,14,0,14,1,1870429.5232150867,1
12,2018,sims,1377958.24,2720670.67,3838364.54,1214320.26,1148873.93,374978.48,1991053.35,374978.48,1870429.52,14,0,14,1,1870429.5232150867,1
12,2018,ssebop,1904380.49,2720670.67,3838364.54,1214320.26,1643350.03,374978.48,1991053.35,374978.48,1870429.52,14,0,14,1,1870429.5232150867,1
13,2016,disalexi,228836.55,763112.42,1081372.25,259939.13,208122.75,165286.57,1048135.81,165286.57,497319.84,2,0,0,4,256086.09841301318,2
13,2016,eemetric,426012.65,763112.42,1081372.25,259939.13,399113.34,165286.57,1048135.81,165286.57,497319.84,2,0,0,4,256086.09841301318,2
13,2016,ensemble,372526.65,763112.42,1081372.25,259939.13,367585.33,165286.57,1048135.81,165286.57,497319.84,2,0,0,4,256086.09841301318,2
13,2016,ptjpl,316469.94,763112.42,1081372.25,259939.13,318452.6,165286.57,1048135.81,165286.57,497319.84,2,0,0,4,256086.09841301318,2
13,2016,sims,342131.29,763112.42,1081372.25,259939.13,328158.35,165286.57,1048135.81,165286.57,497319.84,2,0,0,4,256086.09841301318,2
13,2016,ssebop,497355.57,763112.42,1081372.25,259939.13,467714.77,165286.57,1048135.81,165286.57,497319.84,2,0,0,4,256086.09841301318,2
13,2017,disalexi,304047.03,753409.71,1070063.2,364883.56,229174.93,155418.71,728434.15,155418.71,497319.84,2,0,0,1,497319.83721740183,1
